Step,adv_loss,critic_loss,autoenc_loss,cycle_loss,recon_loss,epoch
2,0.0699462890625,0.4611134231090545,1.5694637298583984,0.0128230545669794,1.486328125,0
4,0.0718994140625,0.4521544575691223,1.3572558164596558,0.0125292502343654,1.2724609375,0
6,0.07415771484375,0.4340913891792297,1.2117931842803955,0.0106213176622986,1.126953125,0
8,0.08172607421875,0.3946778476238251,1.0657566785812378,0.0081395031884312,0.9755859375,0
10,0.08270263671875,0.3823758959770202,0.9553571939468384,0.006626752205193,0.8662109375,0
12,0.0887451171875,0.3612066507339477,0.8626814484596252,0.005259589292109,0.7685546875,0
14,0.0836181640625,0.363451212644577,0.8130992650985718,0.0040172333829104,0.7255859375,0
16,0.09356689453125,0.3361672759056091,0.7955825924873352,0.0035904140677303,0.6982421875,0
18,0.095458984375,0.3639047741889953,0.7622830867767334,0.0034940256737172,0.6630859375,0
20,0.09967041015625,0.3122439384460449,0.7831551432609558,0.0038582750130444,0.6796875,0
22,0.09814453125,0.3152041435241699,0.7344640493392944,0.0030187177471816,0.63330078125,0
24,0.10076904296875,0.3027643859386444,0.7208292484283447,0.0025675019714981,0.61767578125,0
26,0.09197998046875,0.3189637064933777,0.7203252911567688,0.0025518424808979,0.6259765625,0
28,0.1058349609375,0.2882126569747925,0.7417586445808411,0.0029891305603086,0.6328125,0
30,0.1065673828125,0.2859883308410644,0.7335041761398315,0.0030354296322911,0.6240234375,0
32,0.10986328125,0.2752999663352966,0.7072679400444031,0.0026780781336128,0.5947265625,0
34,0.1107177734375,0.2992845475673675,0.6961514353752136,0.0023037821520119,0.5830078125,0
36,0.1048583984375,0.3611064553260803,0.7190220952033997,0.002713518217206,0.611328125,0
38,0.10595703125,0.3350134491920471,0.7009570598602295,0.0027148458175361,0.59228515625,0
40,0.1077880859375,0.3143177926540375,0.7128162384033203,0.0028552860021591,0.60205078125,0
42,0.1097412109375,0.3254733681678772,0.7254199385643005,0.0027637018356472,0.61279296875,0
44,0.10662841796875,0.2864469289779663,0.6859631538391113,0.0028576776385307,0.57666015625,0
46,0.0877685546875,0.3211421072483063,0.6536689400672913,0.002790032653138,0.56298828125,0
48,0.1036376953125,0.2947622537612915,0.6942034363746643,0.0027971959207206,0.587890625,0
50,0.083740234375,0.3316006064414978,0.6530646681785583,0.0026740168686956,0.56640625,0
52,0.1025390625,0.2870311141014099,0.6880354285240173,0.0029768627136945,0.58251953125,0
54,0.09747314453125,0.2948524951934814,0.6434216499328613,0.0027966790366917,0.54296875,0
56,0.1048583984375,0.2787550389766693,0.6908613443374634,0.0028730558697134,0.5830078125,0
58,0.10711669921875,0.2714244723320007,0.6358622312545776,0.0025614728219807,0.5263671875,0
60,0.1063232421875,0.3323448598384857,0.6601581573486328,0.0029315731953829,0.55078125,0
62,0.11376953125,0.3313182294368744,0.6646411418914795,0.003020059550181,0.5478515625,0
64,0.1097412109375,0.2683728635311126,0.6498460173606873,0.0028733548242598,0.537109375,0
66,0.109375,0.2682774364948272,0.632827639579773,0.0029448533896356,0.5205078125,0
68,0.11328125,0.2672357261180877,0.6111978888511658,0.0027994769625365,0.4951171875,0
70,0.11456298828125,0.2598813474178314,0.6262562870979309,0.002721122931689,0.5087890625,0
72,0.1168212890625,0.2911152243614197,0.6220868825912476,0.0024579898454248,0.5029296875,0
74,0.1114501953125,0.2773149013519287,0.6120339632034302,0.0026589347980916,0.497802734375,0
